Año,Edad,Peso
2004,37.0,74.52247191011236
2004,38.0,77.04109589041096
2004,39.0,74.48275862068965
2004,40.0,71.36842105263158
2004,41.0,74.98148148148148
2004,42.0,73.60714285714286
2004,43.0,72.78571428571429
2004,44.0,74.85714285714286
2004,45.0,72.26923076923077
2004,46.0,75.35714285714286
2004,47.0,74.07692307692308
2004,48.0,76.5
2004,49.0,65.83333333333333
2004,50.0,85.0
2004,51.0,90.0
2004,52.0,68.4
2004,53.0,73.0
2004,55.0,73.0
2004,56.0,66.0
2004,57.0,82.5
2006,14.0,58.0
2006,15.0,60.44444444444444
2006,16.0,59.625
2006,17.0,60.775862068965516
2006,18.0,62.824175824175825
2006,19.0,67.0
2006,20.0,67.02369668246446
2006,21.0,68.62015503875969
2006,22.0,69.65331010452962
2006,23.0,70.14010989010988
2006,24.0,68.54441260744986
2006,25.0,71.55269922879178
2006,26.0,70.30662020905923
2006,27.0,71.68092105263158
2006,28.0,70.5922619047619
2006,29.0,71.30141843971631
2006,30.0,73.03555555555556
2006,31.0,73.20967741935483
2006,32.0,71.52380952380952
2006,33.0,75.584
2006,34.0,74.56060606060606
2006,35.0,77.62790697674419
2006,36.0,78.06666666666666
2006,37.0,77.75
2006,38.0,77.0
2006,39.0,76.61538461538461
2006,40.0,81.5
2006,41.0,73.5
2006,42.0,73.33333333333333
2006,43.0,86.5
2006,44.0,76.25
2006,45.0,95.0
2006,46.0,76.0
2006,47.0,74.0
2006,49.0,80.0
2006,50.0,86.0
2006,52.0,68.0
2008,12.0,55.0
2008,13.0,69.0
2008,14.0,63.0
2008,15.0,46.298701298701296
2008,16.0,52.87570621468927
2008,17.0,56.75345622119816
2008,18.0,62.569148936170215
2008,19.0,66.24951644100581
2008,20.0,68.71438645980254
2008,21.0,70.27962347729789
2008,22.0,70.437624750499
2008,23.0,72.13745551601423
2008,24.0,72.6584249084249
2008,25.0,73.52043726235742
2008,26.0,72.85363357215967
2008,27.0,73.00727883538634
2008,28.0,73.11910669975187
2008,29.0,73.67194928684627
2008,30.0,74.20466786355476
2008,31.0,75.33222958057395
2008,32.0,74.6080459770115
2008,33.0,74.45762711864407
2008,34.0,72.81777777777778
2008,35.0,73.63350785340315
2008,36.0,75.13970588235294
2008,37.0,72.58878504672897
2008,38.0,73.28571428571429
2008,39.0,71.53125
2008,40.0,74.5
2008,41.0,75.48076923076923
2008,42.0,76.89189189189189
2008,43.0,76.18181818181819
2008,44.0,70.70967741935483
2008,45.0,73.85714285714286
2008,46.0,72.36842105263158
2008,47.0,78.125
2008,48.0,77.66666666666667
2008,49.0,70.3
2008,50.0,71.875
2008,51.0,86.33333333333333
2008,52.0,81.57142857142857
2008,53.0,56.0
2008,54.0,125.0
2008,55.0,79.0
2008,56.0,67.0
2008,57.0,73.0
2008,58.0,68.33333333333333
2008,60.0,72.0
2008,61.0,80.33333333333333
2008,67.0,62.0
2010,15.0,58.0
2010,16.0,58.12
2010,17.0,61.86666666666667
2010,18.0,63.51764705882353
2010,19.0,64.09219858156028
2010,20.0,68.9047619047619
2010,21.0,68.09053497942386
2010,22.0,70.04561403508772
2010,23.0,69.01769911504425
2010,24.0,69.60046728971963
2010,25.0,71.54947916666667
2010,26.0,71.18525179856115
2010,27.0,70.92415730337079
2010,28.0,71.36585365853658
